r_xy_mm,phi_deg,z_mm,spiral,order_idx
247,176.5,242,reverse,437
254,175.8,200,forward,438
247,179.4,138,reverse,439
260,172.9,96,forward,440
246,174.7,74,reverse,441
241,177.6,32,forward,442
172,177.6,4,forward,443
238,182.4,34,reverse,444
249,185.3,72,forward,445
263,187.1,98,reverse,446
238,180.6,136,forward,447
255,184.2,202,reverse,448
259,183.5,240,forward,449
244,181.2,306,reverse,450
239,186.4,343,forward,451
238,186.0,370,reverse,452
257,181.7,408,forward,453
245,183.1,474,reverse,454
244,184.6,511,forward,455
236,180.1,577,reverse,456
260,184.9,642,reverse,457
240,182.8,679,forward,458
239,181.9,745,reverse,459
253,185.7,783,forward,460
228,194.8,793,reverse,461
238,194.3,770,reverse,462
245,190.5,719,forward,463
262,189.6,706,reverse,464
264,187.5,615,forward,465
250,192.5,602,reverse,466
237,192.3,551,forward,467
253,187.8,538,reverse,468
243,189.3,447,forward,469
261,190.7,434,reverse,470
249,194.1,383,forward,471
259,193.6,330,reverse,472
250,191.1,279,forward,473
245,188.9,266,reverse,474
246,188.2,175,forward,475
244,191.8,162,reverse,476
247,193.0,111,forward,477
241,194.8,58,reverse,478
265,190.0,8,forward,479
264,202.4,19,reverse,480
260,197.7,47,forward,481
250,199.5,123,reverse,482
256,200.6,151,forward,483
243,195.9,215,forward,484
260,196.6,226,reverse,485
255,201.3,291,reverse,486
255,198.8,319,forward,487
262,198.4,394,reverse,488
253,201.7,423,forward,489
237,197.0,487,forward,490
241,195.5,498,reverse,491
236,200.2,562,reverse,492
241,199.9,591,forward,493
243,195.2,655,forward,494
238,197.3,666,reverse,495
247,202.0,730,reverse,496
244,198.1,758,forward,497
131,202.4,787,reverse,498
260,206.7,794,reverse,499
250,202.9,694,forward,500
265,209.7,691,reverse,501
263,207.6,630,forward,502
240,204.9,626,reverse,503
241,204.7,526,forward,504
242,207.8,523,reverse,505
240,209.4,462,forward,506
263,203.1,458,reverse,507
240,206.5,358,forward,508
249,206.0,355,reverse,509
238,203.5,255,forward,510
242,209.0,251,reverse,511
257,208.3,191,forward,512
253,204.2,187,reverse,513
249,205.4,87,forward,514
259,207.2,83,reverse,515
199,214.8,14,reverse,516
259,210.1,23,forward,517
241,214.8,43,reverse,518
256,213.0,126,forward,519
246,211.9,147,reverse,520
251,216.6,211,reverse,521
243,215.9,230,forward,522
254,211.2,294,forward,523
243,213.7,315,reverse,524
252,214.1,398,forward,525
254,210.8,419,reverse,526
260,215.5,483,reverse,527
251,217.1,502,forward,528
244,212.3,566,forward,529
265,212.6,587,reverse,530
245,217.3,651,reverse,531
258,215.3,670,forward,532
240,210.5,734,forward,533
264,214.4,755,reverse,534
143,210.1,790,forward,535
64,222.5,793,reverse,536
253,218.2,774,forward,537
237,222.1,715,reverse,538
252,222.9,709,forward,539
235,220.0,606,forward,540
262,220.2,547,reverse,541
240,224.7,542,forward,542
258,223.2,443,reverse,543
240,221.8,438,forward,544
241,218.4,379,reverse,545
256,218.9,334,forward,546
241,221.4,275,reverse,547
251,223.6,270,forward,548
248,224.3,172,reverse,549
254,220.7,166,forward,550
254,219.6,108,reverse,551
263,217.8,62,forward,552
238,217.8,10,forward,553
246,222.5,4,reverse,554
239,230.2,38,forward,555
256,227.2,68,reverse,556
252,225.4,102,forward,557
238,232.0,132,reverse,558
238,228.3,206,forward,559
241,229.0,236,reverse,560
252,231.3,309,forward,561
247,226.1,340,reverse,562
259,226.5,374,forward,563
246,230.8,404,reverse,564
252,229.5,477,forward,565
235,227.9,508,reverse,566
262,232.4,581,forward,567
240,225.0,611,reverse,568
247,227.7,645,forward,569
237,229.7,675,reverse,570
252,230.6,749,forward,571
258,226.8,779,reverse,572
239,238.2,789,forward,573
259,234.5,740,reverse,574
263,235.3,685,forward,575
247,237.4,636,reverse,576
263,232.6,572,reverse,577
236,237.1,517,forward,578
245,235.6,468,reverse,579
265,234.2,413,forward,580
245,238.5,364,reverse,581
262,238.9,349,forward,582
247,233.8,300,reverse,583
241,236.0,245,forward,584
258,236.7,196,reverse,585
240,233.1,142,forward,586
250,239.6,92,reverse,587
248,237.8,77,forward,588
241,234.9,28,reverse,589
162,234.9,7,reverse,590
252,242.6,13,forward,591
239,247.3,53,reverse,592
258,245.5,117,forward,593
249,244.4,157,reverse,594
254,240.7,181,forward,595
240,241.4,260,reverse,596
262,243.7,285,forward,597
251,246.2,325,reverse,598
243,246.6,389,forward,599
238,243.2,428,reverse,600
264,241.9,453,forward,601
265,240.3,532,reverse,602
236,244.8,557,forward,603
241,245.0,596,reverse,604
258,240.1,621,forward,605
244,242.1,700,reverse,606
258,243.0,725,forward,607
243,246.9,764,reverse,608
111,254.9,789,reverse,609
256,250.6,764,forward,610
254,254.5,725,reverse,611
250,249.8,660,reverse,612
245,247.7,660,forward,613
240,252.5,596,forward,614
244,252.7,557,reverse,615
255,248.0,492,reverse,616
253,249.5,492,forward,617
247,254.3,428,forward,618
246,250.9,389,reverse,619
259,251.3,325,forward,620
260,253.8,285,reverse,621
248,249.1,221,reverse,622
257,248.4,221,forward,623
257,253.1,157,forward,624
244,252.0,117,reverse,625
243,250.2,53,forward,626
238,254.9,13,reverse,627
113,254.9,9,reverse,628
240,259.7,77,reverse,629
253,257.9,92,forward,630
262,256.8,181,reverse,631
258,260.8,196,forward,632
237,261.5,245,reverse,633
258,256.1,260,forward,634
