r_xy_mm,phi_deg,z_mm,spiral,order_idx
95,-12.8,161,reverse,336
89,-0.4,174,reverse,337
97,-7.2,152,forward,338
110,-5.2,141,reverse,339
109,-2.5,120,forward,340
108,-2.2,88,reverse,341
91,-5.4,67,forward,342
101,-7.0,55,reverse,343
111,-0.7,34,forward,344
103,-4.1,2,reverse,345
101,-3.6,-19,forward,346
109,-1.1,-51,reverse,347
89,-6.5,-72,forward,348
103,-5.9,-83,reverse,349
90,-1.8,-104,forward,350
105,-2.9,-136,reverse,351
89,-4.7,-157,forward,352
97,4.7,-156,reverse,353
93,2.9,-137,forward,354
99,1.8,-103,reverse,355
109,5.9,-84,forward,356
96,6.5,-71,reverse,357
101,1.1,-51,forward,358
107,3.6,-18,reverse,359
88,4.0,1,forward,360
106,0.7,35,reverse,361
103,7.0,54,forward,362
110,5.4,68,reverse,363
95,2.2,87,forward,364
90,2.5,121,reverse,365
101,5.2,140,forward,366
95,7.2,153,reverse,367
102,0.4,173,forward,368
108,12.8,160,forward,369
101,14.9,133,reverse,370
93,9.9,107,forward,371
93,10.2,101,reverse,372
108,14.6,75,forward,373
93,13.1,48,reverse,374
99,11.7,22,forward,375
92,8.3,15,reverse,376
97,8.8,-31,forward,377
89,11.3,-38,reverse,378
99,13.5,-64,forward,379
93,14.2,-91,reverse,380
107,10.6,-117,forward,381
88,9.5,-124,reverse,382
92,7.7,-170,forward,383
100,15.3,-150,forward,384
103,17.1,-144,reverse,385
96,21.9,-111,reverse,386
110,18.3,-97,forward,387
96,18.9,-58,reverse,388
90,21.2,-44,forward,389
110,16.4,-11,forward,390
90,16.0,-5,reverse,391
112,20.7,27,reverse,392
96,19.4,42,forward,393
109,17.8,80,reverse,394
89,22.3,95,forward,395
101,17.6,127,forward,396
94,19.6,166,reverse,397
98,25.2,148,forward,398
103,27.3,146,reverse,399
88,22.6,113,reverse,400
92,27.0,62,forward,401
92,25.5,60,reverse,402
109,24.1,9,forward,403
111,28.4,7,reverse,404
103,28.8,-24,forward,405
91,23.7,-25,reverse,406
91,25.9,-76,forward,407
98,26.6,-78,reverse,408
89,23.0,-129,forward,409
98,29.5,-131,reverse,410
91,27.7,-162,forward,411
93,24.8,-164,reverse,412
107,37.2,-152,reverse,413
89,35.4,-142,forward,414
106,30.7,-109,forward,415
98,34.3,-99,reverse,416
109,33.6,-56,forward,417
111,31.3,-46,reverse,418
89,36.1,-13,reverse,419
110,36.5,-3,forward,420
102,31.8,29,forward,421
108,33.1,40,reverse,422
110,34.7,82,forward,423
99,30.2,93,reverse,424
96,30.0,115,forward,425
93,35.0,126,reverse,426
92,32.9,168,forward,427
109,39.7,158,reverse,428
105,37.6,135,forward,429
105,42.6,105,reverse,430
89,42.4,102,forward,431
97,37.9,73,reverse,432
112,39.4,50,forward,433
105,40.8,20,reverse,434
90,44.2,17,forward,435
105,43.7,-33,reverse,436
103,41.2,-36,forward,437
107,39.0,-66,reverse,438
94,38.3,-89,forward,439
98,41.9,-119,reverse,440
96,43.1,-122,forward,441
99,44.9,-172,reverse,442
111,40.1,-175,forward,443
107,47.8,-154,forward,444
95,49.6,-139,reverse,445
108,50.7,-101,forward,446
101,46.7,-86,reverse,447
103,46.0,-69,forward,448
98,51.4,-53,reverse,449
93,48.9,-16,forward,450
99,48.5,0,reverse,451
